trial,item_no,item_id,type,expset,condition,social_context,target_context,register_match,grammatical,context,critical,sentence,picture1,correct_answer
critical,45,5,filler,SocStat,a,high,high,match,yes,Jans Eltern*verlangen*als Professoren*viel*von ihrem Sohn*ab.,"Ich*denke,*dass*die Studie*wegen des groben Versehens*abgesagt ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler5_socstat_unrelated_1.jpg,Nein
critical,46,6,filler,SocStat,a,high,high,match,yes,Zu sp&auml;t*kommen*als Arzt*wird*nicht gern*gesehen.,Ich*denke*dass*der Stau*wegen der engen Baustelle*unendlich ist.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler6_socstat_unrelated_1.jpg,Nein
critical,32,32,critical,WP1,e,high,high,match,no,Grandios geschult*prophezeit*Klaus:,Ich*verschreibe*bald*meine Pistole*auf dem Zettel.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Pistole.jpg,Ja
critical,120,40,filler,WP2,j,high,low,mismatch,no,Die Richter*urteilten*souver&auml;n:,Der Barkeeper*dissen*den Weinkenner.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler40_WP2_unrelated_2.jpg,Nein
critical,59,19,filler,SocStat,b,high,high,match,no,In einer R&ouml;sterei*arbeiten*macht*gro&szlig;e Freude.,"Ich*finde,*dass*der Kaffee*wegen die alte Milch*merkw&uuml;rdig schmeckt.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler19_socstat_related_1.jpg,Ja
critical,48,8,filler,SocStat,a,high,high,match,yes,Anna*arbeitet*mehr als 5 Jahre*in dem Gesch&auml;ft.,"Ich*meine,*dass*das Essen*wegen des scharfen Gew&uuml;rzes*unvertr&auml;glich ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler8_socstat_unrelated_1.jpg,Nein
critical,33,33,critical,WP1,e,high,high,match,no,Unermesslich wohlerzogen*frohlockt*Elisabeth:,Ich*lese*sp&auml;ter*meine Erfrischungsgetr&auml;nke*von dem Bahnhofladen.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Erfrischungsgetraenke.jpg,Ja
critical,39,39,critical,WP1,f,high,low,mismatch,no,Leger verweilend*ersinnt*Sabine:,Ich*betreibe*jetzt*meine Schlappen*in der Provinz.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Schlappen.jpg,Ja
critical,109,29,filler,WP2,h,high,high,match,no,Die Hofdame*gestand*gegen&uuml;ber der Gouvernante:,Der Wanderer*qu&auml;len*den Nachtportier.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler29_WP2_related_1.jpg,Ja
critical,43,3,filler,SocStat,a,high,high,match,yes,Herr Kluge*bem&uuml;ht sich*sehr*als Politiker.,"Ich*nehme an,*dass*die Absperrung*wegen der langen Konferenz*bestehen bleibt.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler3_socstat_unrelated_1.jpg,Nein
critical,56,16,filler,SocStat,b,high,high,match,no,Ricardo*wird*regelm&auml;&szlig;ig*als DJ*angeheuert.,"Ich*merke,*dass*die &Uuml;berraschung*wegen die tiefe Freude*gelungen ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler16_socstat_related_1.jpg,Ja
critical,40,40,critical,WP1,f,high,low,mismatch,no,Leger verweilend*ersinnt*Sabine:,Ich*trage*jetzt*meine Absteige*auf der Allee.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Absteige.jpg,Ja
critical,101,21,filler,WP2,g,high,high,match,yes,Der Handelsvertreter*verk&uuml;ndete*den B&uuml;rgern:,Der Landwirt*reizte*den Obsth&auml;ndler.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler21_WP2_unrelated_2.jpg,Nein
critical,47,7,filler,SocStat,a,high,high,match,yes,Die Feuerwehrfrau*l&ouml;scht*die Br&auml;nde.,"Ich*meine,*dass*die Unruhe*wegen der w&uuml;sten Proteste*nachvollziehbar ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler7_socstat_related_1.jpg,Ja
critical,57,17,filler,SocStat,b,high,high,match,no,Meine Kollegin*schimpft*st&auml;ndig*&uuml;ber den Erzieherberuf.,"Ich*vermute,*dass*die Aktion*wegen die volle Kita*zugelassen ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler17_socstat_unrelated_1.jpg,Nein
critical,37,37,critical,WP1,f,high,low,mismatch,no,Achtsam wohlmeinend*verbalisiert*Norbert:,Ich*wasche*gleich*meine Pl&uuml;rre*in dem Waschbecken.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Pluerre.jpg,Ja
critical,52,12,filler,SocStat,b,high,high,match,no,Marc*muss*als Berufsmusiker*stets*flexibel sein.,"Ich*bin &uuml;berzeugt,*dass*die Veranstaltung*wegen die laute St&ouml;rung*l&auml;nger dauert.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler12_socstat_unrelated_1.jpg,Nein
critical,22,22,critical,WP1,c,high,high,match,yes,Fachkundig instruiert*signalisiert*Florian:,Ich*entwurme*jetzt*meinen Hund*mit der Tablette.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Hund.jpg,Ja
critical,29,29,critical,WP1,d,high,low,mismatch,yes,Exzessiv arrogant*intoniert*Annika:,Ich*rauche*bald*meine Kippe*mit dem Freund.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Kippe.jpg,Ja
critical,103,23,filler,WP2,g,high,high,match,yes,Der Dirigent*raunte*w&auml;hrend der Darbietung:,Der Geiger*stie&szlig;*den S&auml;nger.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler23_WP2_unrelated_2.jpg,Nein
critical,35,35,critical,WP1,e,high,high,match,no,Effizient autonom*deklariert*Vera:,Ich*schminke*sp&auml;ter*meine Lampe*f&uuml;r die Ausstellung.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Lampe.jpg,Ja
critical,49,9,filler,SocStat,a,high,high,match,yes,Ein Streifenpolizist*braucht*eine gute Intuition.,"Ich*bef&uuml;rchte,*dass*die Strecke*wegen des fr&uuml;hen Rennens*umgeleitet ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler9_socstat_related_1.jpg,Ja
critical,30,30,critical,WP1,d,high,low,mismatch,yes,Exzessiv arrogant*intoniert*Annika:,Ich*streiche*bald*meine Kneipe*w&auml;hrend der Arbeitszeit.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Kneipe.jpg,Ja
critical,23,23,critical,WP1,c,high,high,match,yes,Beflissen arbeitend*k&uuml;ndet*Lars:,Ich*k&auml;mme*gleich*meine Haare*nach dem Bad.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Haare.jpg,Ja
critical,117,37,filler,WP2,j,high,low,mismatch,no,Die Beamtin*verschriftlichte*hinsichtlich des Sachverhalts:,Der Dekan*verteufeln*den Kanzler.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler37_WP2_related_1.jpg,Ja
critical,115,35,filler,WP2,i,high,low,mismatch,yes,Die Aufsichtsbeh&ouml;rde*postulierte*die Erkenntnis:,Der Radprofi*piesackte*den Rennfahrer.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler35_WP2_unrelated_2.jpg,Nein
